SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
20MICRONS,EQ,64.8,67.0,63.0,63.6,63.25,62.6,1129498,73646779.85,2018-01-05,7645,INE144J01027
3IINFOTECH,EQ,8.7,8.8,8.3,8.8,8.8,8.4,24010030,207741155.15,2018-01-05,9146,INE748C01020
3MINDIA,EQ,19440.0,19600.05,19255.35,19367.5,19350.0,19449.8,867,16855986.45,2018-01-05,407,INE470A01017
5PAISA,EQ,345.95,352.0,327.0,330.7,332.0,337.7,20668,6917049.7,2018-01-05,740,INE618L01018
63MOONS,EQ,116.0,121.9,116.0,118.65,119.0,117.95,532162,63777801.45,2018-01-05,5639,INE111B01023
8KMILES,EQ,866.0,892.0,860.05,863.05,861.75,860.0,124516,108714170.75,2018-01-05,6352,INE650K01021
A2ZINFRA,EQ,46.85,47.2,45.1,45.5,45.25,46.55,2089931,95910175.85,2018-01-05,6957,INE619I01012
AARTIDRUGS,EQ,744.0,757.0,733.05,737.55,738.1,740.4,61779,45952698.05,2018-01-05,2552,INE767A01016
AARTIIND,EQ,1150.0,1174.0,1000.0,1170.6,1170.0,1149.35,77402,89947795.8,2018-01-05,4486,INE769A01020
AARVEEDEN,EQ,57.05,57.05,51.8,53.25,52.25,53.7,207402,11361553.2,2018-01-05,1242,INE273D01019
ABAN,EQ,210.0,217.5,208.7,215.55,214.75,209.6,3929454,840883000.35,2018-01-05,30870,INE421A01028
ABB,EQ,1432.0,1458.0,1430.0,1435.1,1436.95,1433.3,99155,142890022.2,2018-01-05,4263,INE117A01022
ABBOTINDIA,EQ,5450.0,5450.0,5353.5,5383.15,5412.0,5430.85,2130,11498378.4,2018-01-05,430,INE358A01014
ABCAPITAL,EQ,185.0,186.0,184.2,184.85,185.1,184.0,3143911,582073788.85,2018-01-05,27985,INE674K01013
ABFRL,EQ,171.5,181.5,171.0,177.5,177.9,171.35,1111510,197947763.95,2018-01-05,12809,INE647O01011
ACC,EQ,1801.1,1820.4,1795.6,1809.95,1814.9,1801.35,312489,565051196.5,2018-01-05,13574,INE012A01025
ACCELYA,EQ,1453.0,1473.85,1438.0,1465.95,1470.0,1452.1,2512,3658408.4,2018-01-05,261,INE793A01012
ACE,EQ,158.9,163.5,155.0,156.25,155.5,155.0,2453086,391326249.45,2018-01-05,20845,INE731H01025
ADANIENT,EQ,184.8,194.3,182.4,193.15,192.85,183.3,11521764,2187860099.25,2018-01-05,53444,INE423A01024
ADANIPORTS,EQ,411.9,426.95,410.2,423.8,423.65,409.85,5448214,2298384157.05,2018-01-05,59661,INE742F01042
ADANIPOWER,EQ,44.2,47.25,44.2,46.4,46.4,44.25,47663047,2204218136.15,2018-01-05,75533,INE814H01011
ADANITRANS,EQ,214.1,215.0,208.15,209.65,209.5,212.6,1147372,241801382.7,2018-01-05,12555,INE931S01010
ADFFOODS,EQ,312.0,314.9,310.0,310.8,310.0,311.45,171178,53362199.7,2018-01-05,4368,INE982B01019
ADORWELD,EQ,579.65,580.0,552.1,555.65,556.0,576.9,112536,63795519.3,2018-01-05,3945,INE045A01017
ADVANIHOTR,EQ,81.9,85.25,77.8,84.85,84.85,78.35,327736,27289083.95,2018-01-05,2348,INE199C01026
ADVENZYMES,EQ,296.4,314.3,296.35,302.6,302.4,294.4,845611,260085541.7,2018-01-05,12643,INE837H01020
AEGISCHEM,EQ,289.2,298.0,282.1,294.85,294.2,289.2,205864,60111098.55,2018-01-05,3311,INE208C01025
AFL,EQ,68.7,68.7,64.2,64.85,64.6,67.1,39081,2546511.6,2018-01-05,297,INE020G01017
AGLSL,EQ,117.5,122.0,116.55,120.15,122.0,119.85,54812,6481221.35,2018-01-05,207,INE517U01013
AGRITECH,EQ,125.0,125.0,118.8,119.65,120.1,121.35,22477,2725705.4,2018-01-05,350,INE449G01018
AHLEAST,EQ,279.25,281.95,279.2,280.6,281.9,279.2,1246,349933.35,2018-01-05,53,INE926K01017
AHLUCONT,EQ,376.0,391.65,376.0,387.05,385.0,373.5,90942,35156434.75,2018-01-05,3300,INE758C01029
AIAENG,EQ,1582.0,1625.9,1572.55,1597.75,1585.65,1572.4,124100,199135098.1,2018-01-05,3624,INE212H01026
AIFL,EQ,464.0,464.0,450.0,455.8,453.2,458.7,114963,52459978.55,2018-01-05,1998,INE428O01016
AJANTPHARM,EQ,1483.95,1530.0,1478.75,1523.15,1518.0,1483.35,283516,428379278.0,2018-01-05,9653,INE031B01049
AJMERA,EQ,330.0,331.35,327.0,328.45,327.15,328.7,68514,22541617.85,2018-01-05,1404,INE298G01027
AKSHARCHEM,EQ,777.0,777.0,763.75,767.45,770.0,763.0,15254,11771961.4,2018-01-05,623,INE542B01011
AKZOINDIA,EQ,1874.8,1879.9,1855.0,1864.85,1856.85,1856.75,9003,16800450.1,2018-01-05,735,INE133A01011
ALANKIT,EQ,88.0,88.75,80.35,80.7,80.35,84.55,1943348,166265271.95,2018-01-05,12593,INE914E01040
ALBERTDAVD,EQ,399.65,420.0,395.0,403.1,402.0,395.75,81299,33210242.1,2018-01-05,1575,INE155C01010
ALBK,EQ,74.15,74.3,72.6,73.05,73.15,73.6,2095696,153545870.35,2018-01-05,7341,INE428A01015
ALEMBICLTD,EQ,58.9,60.6,57.7,59.15,59.0,58.75,2218765,130992275.15,2018-01-05,8024,INE426A01027
ALICON,EQ,685.0,700.0,676.0,688.9,696.0,686.2,13716,9449552.25,2018-01-05,422,INE062D01024
ALKALI,EQ,81.7,82.75,80.8,80.9,81.15,81.55,9190,745157.1,2018-01-05,182,INE773I01017
ALKEM,EQ,2235.0,2235.0,2192.0,2220.3,2220.0,2217.05,15305,33870835.3,2018-01-05,2626,INE540L01014
ALKYLAMINE,EQ,657.55,682.0,650.0,677.15,680.0,657.55,19028,12634434.0,2018-01-05,472,INE150B01021
ALLCARGO,EQ,214.0,217.8,212.65,215.55,215.4,212.25,923276,199202688.8,2018-01-05,10484,INE418H01029
ALLSEC,EQ,475.0,477.0,448.05,451.9,448.05,463.4,14216,6509970.6,2018-01-05,654,INE835G01018
ALPA,EQ,55.8,56.45,50.3,51.1,51.15,52.35,540008,28948407.1,2018-01-05,4024,INE385I01010
ALPHAGEO,EQ,929.85,949.9,921.0,932.45,932.05,928.15,25551,23957080.9,2018-01-05,1236,INE137C01018
AMARAJABAT,EQ,840.0,864.8,840.0,862.0,862.0,839.75,638787,546223638.9,2018-01-05,17139,INE885A01032
AMBIKCO,EQ,1690.0,1738.0,1630.05,1682.0,1681.0,1693.55,24056,40442149.45,2018-01-05,2301,INE540G01014
AMBUJACEM,EQ,274.5,277.6,272.25,273.9,273.35,273.45,1304360,358549672.3,2018-01-05,15664,INE079A01024
AMDIND,EQ,48.55,49.1,47.0,47.4,47.5,48.5,56962,2741112.6,2018-01-05,497,INE005I01014
AMRUTANJAN,EQ,678.0,678.0,660.0,666.25,662.05,673.25,7483,4995535.75,2018-01-05,475,INE098F01023
ANANTRAJ,EQ,75.5,82.2,74.75,78.95,78.3,73.95,15773837,1250434995.05,2018-01-05,51235,INE242C01024
ANDHRABANK,EQ,60.0,60.2,58.4,58.7,58.75,59.4,2694216,159106418.25,2018-01-05,7326,INE434A01013
ANDHRACEMT,EQ,14.1,14.55,13.65,14.55,14.55,13.9,1561804,22532850.75,2018-01-05,1729,INE666E01012
ANDHRSUGAR,EQ,520.15,558.0,517.25,553.95,553.2,521.35,125192,68163956.15,2018-01-05,3348,INE715B01013
ANIKINDS,EQ,48.05,48.95,46.6,47.0,46.95,48.05,25057,1190242.15,2018-01-05,251,INE087B01017
ANSALAPI,EQ,27.55,28.2,26.75,27.25,27.5,27.35,226693,6252021.1,2018-01-05,708,INE436A01026
ANSALHSG,EQ,26.95,28.75,26.95,27.5,27.55,26.85,156893,4358989.25,2018-01-05,827,INE880B01015
APARINDS,EQ,840.0,853.0,830.75,839.55,840.0,832.75,17685,14912609.75,2018-01-05,1163,INE372A01015
APCL,EQ,253.0,270.0,246.0,266.65,266.0,248.45,40545,10515566.4,2018-01-05,982,INE071F01012
APCOTEXIND,EQ,494.8,494.8,482.0,486.8,486.55,487.65,4763,2321816.15,2018-01-05,180,INE116A01024
APEX,EQ,816.0,831.8,806.85,809.55,808.6,810.05,253432,207816305.15,2018-01-05,6929,INE346W01013
APLAPOLLO,EQ,2297.6,2368.45,2256.0,2289.8,2270.0,2299.9,107739,251504553.5,2018-01-05,6860,INE702C01019
APLLTD,EQ,526.0,530.0,525.0,526.85,527.95,524.95,23478,12382777.2,2018-01-05,3352,INE901L01018
APOLLOHOSP,EQ,1168.0,1199.0,1160.0,1196.3,1195.15,1160.1,232491,275061461.0,2018-01-05,16653,INE437A01024
APOLLOTYRE,EQ,270.1,283.5,269.75,280.6,281.0,270.9,5282717,1474326068.7,2018-01-05,44761,INE438A01022
APOLSINHOT,EQ,1823.2,1823.2,1649.6,1649.6,1649.6,1736.4,5773,9838702.55,2018-01-05,623,INE451F01016
APTECHT,EQ,361.0,367.1,358.3,361.05,360.7,358.2,270781,98015233.05,2018-01-05,3939,INE266F01018
ARCHIDPLY,EQ,115.4,121.0,115.4,117.25,117.65,115.35,165230,19602465.6,2018-01-05,1532,INE877I01016
ARCHIES,EQ,48.0,48.55,46.2,46.4,46.35,48.0,250086,11774805.55,2018-01-05,1660,INE731A01020
ARCOTECH,EQ,57.0,58.0,56.0,57.1,57.35,54.9,5203462,296276323.45,2018-01-05,15291,INE574I01035
ARIHANTSUP,EQ,180.65,185.5,178.05,182.2,183.0,180.75,99029,18027787.6,2018-01-05,1282,INE643K01018
AROGRANITE,EQ,97.25,97.9,87.2,88.7,88.15,96.2,964710,88884331.05,2018-01-05,9481,INE210C01013
ARROWGREEN,EQ,483.55,483.55,475.0,479.15,480.0,476.55,10432,4993578.35,2018-01-05,366,INE570D01018
ARROWTEX,EQ,50.25,50.25,47.05,47.3,47.3,49.45,119651,5778609.65,2018-01-05,906,INE933J01015
ARSHIYA,EQ,108.15,113.75,106.0,110.95,111.0,107.3,284827,31614636.95,2018-01-05,2423,INE968D01022
ARVIND,EQ,454.0,454.0,445.3,447.55,447.0,452.1,1575673,706550284.15,2018-01-05,25053,INE034A01011
ARVSMART,EQ,195.1,198.75,193.7,194.05,194.05,196.85,55201,10797083.75,2018-01-05,870,INE034S01021
ASAHIINDIA,EQ,368.95,378.35,366.9,373.1,373.5,365.95,58735,21975413.0,2018-01-05,1414,INE439A01020
ASAHISONG,EQ,379.9,389.4,374.95,376.55,379.0,377.15,19734,7538299.0,2018-01-05,787,INE228I01012
ASAL,EQ,105.35,111.2,104.1,109.8,108.15,103.2,175399,18995235.3,2018-01-05,1665,INE900C01027
ASHAPURMIN,EQ,107.2,113.4,105.1,113.4,113.4,103.1,2325995,254924726.95,2018-01-05,15727,INE348A01023
ASHIANA,EQ,187.4,195.0,187.0,191.05,190.8,186.35,606110,116165201.15,2018-01-05,5500,INE365D01021
ASHIMASYN,EQ,33.8,34.0,33.1,33.3,33.2,33.55,225470,7561564.85,2018-01-05,978,INE440A01010
ASHOKA,EQ,250.2,253.45,247.0,251.9,251.95,250.15,224290,56344630.8,2018-01-05,4781,INE442H01029
ASHOKLEY,EQ,127.0,128.2,126.0,127.45,127.25,126.95,8969607,1139880134.05,2018-01-05,38238,INE208A01029
ASIANHOTNR,EQ,176.0,179.95,173.3,177.15,177.0,173.45,4509,794721.4,2018-01-05,150,INE363A01022
ASIANPAINT,EQ,1178.0,1192.0,1167.45,1185.25,1187.15,1172.05,1151320,1363069565.35,2018-01-05,53372,INE021A01026
ASIANTILES,EQ,573.8,576.45,568.0,571.4,569.95,570.3,82107,46898546.9,2018-01-05,2569,INE022I01019
ASPINWALL,EQ,515.25,522.0,500.0,511.85,511.0,512.3,5576,2851782.55,2018-01-05,187,INE991I01015
ASTEC,EQ,550.25,554.9,542.25,549.8,551.9,550.25,11127,6088706.85,2018-01-05,772,INE563J01010
ASTRAL,EQ,812.0,829.85,802.0,824.45,827.0,811.0,37459,30613733.5,2018-01-05,3168,INE006I01046
ASTRAMICRO,EQ,120.8,122.2,119.3,121.4,122.15,118.9,701986,85073018.15,2018-01-05,5439,INE386C01029
ASTRAZEN,EQ,1233.0,1269.0,1221.55,1247.9,1240.25,1233.0,14601,18247895.6,2018-01-05,1183,INE203A01020
ATFL,EQ,735.85,764.0,728.7,747.0,747.0,728.65,39833,29904778.0,2018-01-05,1478,INE209A01019
ATLANTA,EQ,121.8,124.75,120.2,121.65,121.5,121.6,484490,59343193.6,2018-01-05,3785,INE285H01022
ATUL,EQ,2802.0,2871.3,2795.0,2809.1,2820.0,2836.6,13108,37067414.7,2018-01-05,1392,INE100A01010
ATULAUTO,EQ,457.8,458.6,449.55,453.55,452.75,457.7,39666,17971882.05,2018-01-05,1192,INE951D01028
AUBANK,EQ,675.0,704.0,675.0,699.45,700.5,675.0,255516,177185075.7,2018-01-05,7183,INE949L01017
AURIONPRO,EQ,260.0,261.65,245.25,247.75,246.9,262.9,237559,59568334.15,2018-01-05,5138,INE132H01018
