SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
20MICRONS,EQ,45.2,47.1,42.55,45.2,45.2,48.0,124918,5663490.2,2018-02-06,1032,INE144J01027
3IINFOTECH,EQ,5.65,6.15,5.65,6.15,6.15,5.9,8955746,53192163.8,2018-02-06,3803,INE748C01020
3MINDIA,EQ,18887.0,18887.0,18200.05,18462.0,18475.0,18943.1,2756,50827762.35,2018-02-06,741,INE470A01017
5PAISA,EQ,273.35,273.45,273.35,273.35,273.35,287.7,3078,841400.4,2018-02-06,97,INE618L01018
63MOONS,EQ,86.1,91.55,86.05,90.35,90.5,94.7,313159,28196852.85,2018-02-06,3734,INE111B01023
8KMILES,EQ,610.0,632.0,585.0,615.2,611.15,643.85,282637,174393722.15,2018-02-06,7446,INE650K01021
A2ZINFRA,EQ,32.05,33.75,31.25,33.35,33.3,34.9,1366490,44972833.6,2018-02-06,4380,INE619I01012
AARTIDRUGS,EQ,565.0,627.1,545.55,594.0,592.1,591.65,10580,6061673.5,2018-02-06,633,INE767A01016
AARTIIND,EQ,1051.0,1108.65,1033.0,1100.25,1103.0,1105.3,120459,129301610.4,2018-02-06,9378,INE769A01020
AARVEEDEN,EQ,42.0,42.9,41.0,42.1,42.3,45.1,61118,2572422.45,2018-02-06,304,INE273D01019
ABAN,EQ,180.0,184.0,177.0,180.3,179.85,191.1,1218331,220583601.75,2018-02-06,15849,INE421A01028
ABB,EQ,1588.0,1628.0,1555.0,1618.65,1617.9,1627.85,44842,71101985.95,2018-02-06,3125,INE117A01022
ABBOTINDIA,EQ,5342.0,5363.0,5239.25,5250.75,5261.0,5394.3,3827,20141765.3,2018-02-06,526,INE358A01014
ABCAPITAL,EQ,159.0,162.0,157.0,158.9,158.9,165.1,4784294,760028428.5,2018-02-06,48032,INE674K01013
ABFRL,EQ,148.0,154.2,143.2,153.15,153.0,154.2,708017,106898438.6,2018-02-06,5093,INE647O01011
ACC,EQ,1595.0,1640.6,1565.0,1618.95,1620.0,1641.15,375432,603390161.55,2018-02-06,18368,INE012A01025
ACCELYA,EQ,1341.7,1375.0,1330.0,1357.05,1355.05,1361.65,3430,4652414.2,2018-02-06,858,INE793A01012
ACE,EQ,147.5,158.95,145.0,150.15,150.05,159.0,1064418,161220103.75,2018-02-06,10927,INE731H01025
ADANIENT,EQ,185.0,198.2,182.7,195.3,194.55,199.45,5920376,1138123780.35,2018-02-06,45686,INE423A01024
ADANIPORTS,EQ,395.0,410.35,387.0,404.8,406.35,408.2,2963450,1186457068.0,2018-02-06,56523,INE742F01042
ADANIPOWER,EQ,31.0,32.2,29.45,31.6,31.45,32.7,15347398,475652519.6,2018-02-06,25704,INE814H01011
ADANITRANS,EQ,184.0,194.0,178.55,190.65,189.75,194.4,823111,155879394.0,2018-02-06,7521,INE931S01010
ADFFOODS,EQ,247.0,250.75,233.3,240.05,240.0,258.8,272158,65418727.25,2018-02-06,5709,INE982B01019
ADORWELD,EQ,418.65,425.0,393.65,413.05,418.0,433.8,33923,13898418.05,2018-02-06,1423,INE045A01017
ADVANIHOTR,EQ,60.35,67.0,60.35,65.05,65.3,66.75,35091,2277972.75,2018-02-06,251,INE199C01026
ADVENZYMES,EQ,235.0,263.0,230.0,256.0,256.15,246.7,501962,125280013.0,2018-02-06,12881,INE837H01020
AEGISCHEM,EQ,245.0,272.95,235.0,269.8,265.5,255.25,448712,114983697.35,2018-02-06,11257,INE208C01025
AFL,EQ,50.5,53.95,50.4,52.35,51.6,53.05,17126,878673.7,2018-02-06,125,INE020G01017
AGLSL,EQ,108.6,115.0,108.0,109.85,109.6,113.65,31002,3433012.05,2018-02-06,211,INE517U01013
AGRITECH,EQ,117.85,117.85,110.0,113.85,113.15,121.2,45054,5109693.35,2018-02-06,1233,INE449G01018
AHLEAST,EQ,265.0,292.65,265.0,280.8,276.2,295.95,38845,10862950.4,2018-02-06,806,INE926K01017
AHLUCONT,EQ,306.0,325.85,306.0,316.35,315.0,320.8,8970,2817268.3,2018-02-06,366,INE758C01029
AIAENG,EQ,1428.85,1451.0,1399.95,1433.75,1440.05,1450.55,278790,398399490.95,2018-02-06,5742,INE212H01026
