SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
20MICRONS,EQ,30.2,30.2,28.65,29.3,29.4,29.55,33990,997768.75,2016-06-21,196,INE144J01027
3IINFOTECH,EQ,5.15,5.3,5.1,5.15,5.1,5.15,2677546,13837445.5,2016-06-21,986,INE748C01020
3MINDIA,EQ,12370.0,12500.0,12368.0,12417.45,12368.0,12369.55,180,2238835.8,2016-06-21,97,INE470A01017
8KMILES,EQ,1784.0,1808.7,1762.0,1767.25,1765.0,1786.7,14197,25284203.95,2016-06-21,1676,INE650K01013
A2ZINFRA,EQ,35.3,36.9,34.8,35.5,35.45,35.0,1546121,55606904.0,2016-06-21,6029,INE619I01012
AARTIDRUGS,EQ,459.95,460.0,453.0,453.3,453.15,458.05,4539,2063954.45,2016-06-21,212,INE767A01016
AARTIIND,EQ,495.0,508.65,495.0,501.15,500.0,499.85,13485,6778213.0,2016-06-21,607,INE769A01020
AARVEEDEN,EQ,69.05,83.1,66.05,80.6,83.1,69.25,238304,18766680.15,2016-06-21,2419,INE273D01019
ABAN,EQ,215.5,218.7,214.05,214.7,214.45,211.1,1192781,257339227.95,2016-06-21,15176,INE421A01028
ABB,EQ,1225.05,1244.45,1217.1,1237.15,1240.0,1221.5,26036,32077226.95,2016-06-21,2506,INE117A01022
ABBOTINDIA,EQ,4461.0,4540.0,4420.0,4511.4,4502.0,4442.35,1824,8215482.5,2016-06-21,804,INE358A01014
ABFRL,EQ,132.0,137.35,131.8,136.1,137.2,132.1,436628,58968766.4,2016-06-21,5442,INE647O01011
ABGSHIP,EQ,32.35,32.95,30.8,31.15,31.3,31.55,615078,19513901.15,2016-06-21,2545,INE067H01016
ABIRLANUVO,EQ,1056.0,1059.0,1040.0,1048.8,1048.2,1033.95,171319,179776585.95,2016-06-21,11859,INE069A01017
ACC,EQ,1573.0,1576.85,1553.5,1559.0,1558.2,1570.15,132191,206277713.35,2016-06-21,5048,INE012A01025
ACCELYA,EQ,1086.0,1115.0,1078.2,1100.85,1109.5,1085.7,7491,8291399.55,2016-06-21,316,INE793A01012
ACE,EQ,40.2,41.25,40.2,40.75,40.85,40.3,68458,2782281.45,2016-06-21,363,INE731H01025
ADANIENT,EQ,79.95,80.7,78.1,78.65,78.85,79.75,1732849,137046362.4,2016-06-21,6445,INE423A01024
ADANIPORTS,EQ,207.0,209.95,203.0,203.25,203.3,206.8,2846802,586516043.9,2016-06-21,28937,INE742F01042
ADANIPOWER,EQ,30.0,30.5,29.8,30.0,29.95,29.7,3404386,102575787.5,2016-06-21,6223,INE814H01011
ADANITRANS,EQ,34.95,35.35,34.5,34.65,34.55,34.75,382058,13314721.25,2016-06-21,1153,INE931S01010
ADFFOODS,EQ,89.45,96.7,88.45,91.75,91.8,88.4,898630,84683258.8,2016-06-21,7799,INE982B01019
ADHUNIK,EQ,8.1,8.1,7.65,7.7,7.65,7.95,144743,1132261.65,2016-06-21,527,INE400H01019
ADI,EQ,301.15,322.9,301.15,313.05,313.9,306.9,2419,754729.1,2016-06-21,73,INE959A01019
ADLABS,EQ,81.25,81.45,79.5,79.95,79.75,81.0,143825,11531047.85,2016-06-21,1639,INE172N01012
ADORWELD,EQ,284.0,284.7,278.15,280.05,279.85,279.85,1514,427218.65,2016-06-21,253,INE045A01017
ADSL,EQ,32.55,33.8,32.1,33.1,33.05,32.6,106162,3522148.0,2016-06-21,806,INE102I01027
ADVANIHOTR,EQ,56.7,57.85,55.0,55.35,55.9,56.7,12261,683774.7,2016-06-21,50,INE199C01026
ADVANTA,EQ,592.3,594.0,584.0,588.1,588.95,589.25,2153,1270178.8,2016-06-21,254,INE517H01028
AEGISCHEM,EQ,121.1,123.5,120.5,122.05,121.8,120.7,468577,57263789.75,2016-06-21,4416,INE208C01025
AFL,EQ,54.0,57.2,54.0,55.7,56.3,56.2,7123,396808.0,2016-06-21,184,INE020G01017
AGARIND,EQ,131.4,131.5,128.0,128.15,128.0,130.1,1446,188124.15,2016-06-21,42,INE204E01012
AGCNET,EQ,62.5,64.4,62.1,63.45,63.45,62.8,1529,96200.6,2016-06-21,21,INE676A01019
AGRITECH,EQ,8.25,8.7,8.25,8.7,8.7,8.3,150,1237.95,2016-06-21,3,INE449G01018
AGRODUTCH,EQ,2.35,2.6,2.35,2.5,2.55,2.45,8510,21278.8,2016-06-21,30,INE135B01014
AHLEAST,EQ,176.0,180.0,168.0,175.5,175.5,184.95,984,173847.05,2016-06-21,91,INE926K01017
AHLUCONT,EQ,271.05,275.0,271.0,274.0,274.8,272.95,14238,3900043.2,2016-06-21,130,INE758C01029
AHLWEST,EQ,146.95,151.0,140.1,144.45,144.0,144.0,1599,231473.8,2016-06-21,45,INE915K01010
AIAENG,EQ,1010.05,1023.1,995.7,1016.8,1018.0,1017.4,29423,29706698.6,2016-06-21,2496,INE212H01026
AIFL,EQ,255.0,258.05,249.15,252.4,249.55,252.0,46011,11695809.4,2016-06-21,799,INE428O01016
AIL,EQ,610.6,619.05,608.4,610.2,610.0,610.35,5905,3621024.75,2016-06-21,754,INE878A01011
AJANTPHARM,EQ,1517.05,1522.0,1463.0,1466.15,1463.4,1517.95,205210,303892195.0,2016-06-21,13874,INE031B01049
AJMERA,EQ,156.0,156.0,153.25,153.7,153.5,156.3,33560,5169395.7,2016-06-21,619,INE298G01027
AKSHOPTFBR,EQ,15.65,16.15,15.65,15.8,15.8,15.65,703310,11158640.15,2016-06-21,932,INE523B01011
AKZOINDIA,EQ,1530.25,1545.5,1520.0,1525.4,1528.0,1528.1,4895,7485408.75,2016-06-21,501,INE133A01011
ALANKIT,EQ,134.5,138.0,129.0,130.8,132.55,134.5,309244,41517447.75,2016-06-21,1207,INE914E01032
ALBERTDAVD,EQ,306.5,320.45,306.5,313.0,313.0,315.55,245,76955.3,2016-06-21,19,INE155C01010
ALBK,EQ,60.0,61.25,59.45,60.7,60.95,60.0,6517040,393949485.35,2016-06-21,20553,INE428A01015
ALCHEM,EQ,23.0,23.4,22.5,22.95,22.95,23.1,4466,102559.6,2016-06-21,48,INE964B01033
ALEMBICLTD,EQ,37.45,37.75,37.25,37.35,37.45,37.3,87010,3264841.8,2016-06-21,583,INE426A01027
ALICON,EQ,317.4,317.5,303.15,304.6,304.4,313.25,4061,1250974.55,2016-06-21,224,INE062D01024
ALKALI,EQ,52.7,54.5,52.7,54.0,53.65,53.25,13132,710376.7,2016-06-21,130,INE773I01017
ALKEM,EQ,1390.0,1390.0,1364.1,1369.35,1366.5,1385.05,14105,19404888.2,2016-06-21,1178,INE540L01014
