SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
20MICRONS,EQ,42.0,42.25,39.4,40.1,40.75,42.8,115586,4727069.6,2017-09-22,739,INE144J01027
3IINFOTECH,EQ,4.0,4.0,3.85,3.9,3.9,3.95,2351012,9221910.8,2017-09-22,568,INE748C01020
3MINDIA,EQ,14550.05,14596.9,14420.0,14487.4,14460.0,14575.75,1086,15756234.6,2017-09-22,263,INE470A01017
63MOONS,EQ,83.1,83.1,78.0,78.5,78.75,82.8,375543,30242173.8,2017-09-22,3645,INE111B01023
8KMILES,EQ,389.8,390.0,378.45,381.05,380.7,388.75,67068,25658519.45,2017-09-22,2313,INE650K01021
A2ZINFRA,EQ,43.0,44.7,36.55,37.45,37.4,42.8,11667204,467973181.1,2017-09-22,33616,INE619I01012
AARTIDRUGS,EQ,530.1,536.95,524.0,526.85,524.0,535.6,9801,5208505.8,2017-09-22,796,INE767A01016
AARTIIND,EQ,886.0,944.9,885.5,891.55,893.0,872.65,198622,181611311.3,2017-09-22,8907,INE769A01020
ABAN,EQ,183.2,194.8,180.6,182.2,182.6,184.5,2795465,524840859.85,2017-09-22,25675,INE421A01028
ABB,EQ,1450.95,1450.95,1392.05,1429.2,1430.0,1448.35,55630,79031821.45,2017-09-22,5189,INE117A01022
ABBOTINDIA,EQ,4269.0,4269.0,4171.65,4252.9,4234.0,4252.25,57160,240748539.95,2017-09-22,1005,INE358A01014
ABCAPITAL,EQ,193.25,198.75,189.05,190.25,189.7,195.45,5176182,1003541851.0,2017-09-22,41871,INE674K01013
ABFRL,EQ,167.1,167.55,163.2,164.1,164.7,167.45,676337,112187952.3,2017-09-22,2965,INE647O01011
ACC,EQ,1745.25,1746.0,1680.0,1688.3,1682.05,1749.8,386853,661024005.4,2017-09-22,20187,INE012A01025
ACCELYA,EQ,1486.0,1515.0,1481.0,1492.65,1497.85,1500.35,4253,6360366.15,2017-09-22,553,INE793A01012
ACE,EQ,65.5,66.5,63.2,64.55,64.4,66.15,317399,20606859.75,2017-09-22,1700,INE731H01025
ADANIENT,EQ,126.85,126.85,121.0,121.75,121.75,127.7,2761762,342852083.5,2017-09-22,14085,INE423A01024
ADANIPORTS,EQ,409.0,409.5,398.6,401.2,400.0,410.2,4371220,1768174854.0,2017-09-22,41179,INE742F01042
ADANIPOWER,EQ,32.25,32.25,30.25,30.45,30.55,32.35,10065127,313361274.0,2017-09-22,13371,INE814H01011
ADANITRANS,EQ,132.5,134.0,127.15,128.6,128.8,132.35,687250,89307162.1,2017-09-22,11462,INE931S01010
ADFFOODS,EQ,259.25,260.5,244.3,247.7,246.0,261.65,412938,103890627.2,2017-09-22,8117,INE982B01019
ADHUNIK,EQ,4.4,4.6,4.3,4.35,4.4,4.55,138193,612463.3,2017-09-22,639,INE400H01019
ADHUNIKIND,EQ,79.1,79.1,79.1,79.1,79.1,98.85,4897,387352.7,2017-09-22,63,INE452L01012
ADLABS,EQ,69.85,76.9,68.5,69.6,69.0,70.3,1943048,141596396.35,2017-09-22,12313,INE172N01012
ADORWELD,EQ,419.0,429.6,398.1,403.3,404.0,423.4,14903,6157957.0,2017-09-22,522,INE045A01017
ADSL,EQ,22.3,22.5,21.8,21.85,21.8,22.3,41685,919757.3,2017-09-22,100,INE102I01027
ADVANIHOTR,EQ,60.0,60.0,57.7,58.05,57.7,61.1,12122,714417.85,2017-09-22,167,INE199C01026
ADVENZYMES,EQ,263.8,273.0,258.0,259.0,259.0,261.8,780293,206385949.1,2017-09-22,10537,INE837H01020
AEGISCHEM,EQ,225.0,225.0,220.0,223.0,221.9,225.25,190135,42215419.1,2017-09-22,3160,INE208C01025
AGCNET,EQ,124.0,125.1,121.6,123.35,124.95,128.0,1089,134436.1,2017-09-22,27,INE676A01019
AGLSL,EQ,141.8,141.8,130.0,132.25,132.5,137.15,11282,1489868.9,2017-09-22,172,INE517U01013
AGRITECH,EQ,101.95,101.95,96.25,97.25,96.55,101.3,37105,3598660.0,2017-09-22,532,INE449G01018
AHLEAST,EQ,272.9,272.9,265.0,265.1,266.0,266.2,1444,382746.7,2017-09-22,24,INE926K01017
AHLUCONT,EQ,316.1,322.0,307.0,317.4,317.0,319.1,61661,19230959.5,2017-09-22,1024,INE758C01029
AHLWEST,EQ,178.0,180.05,165.25,167.9,167.7,178.0,2513,436062.05,2017-09-22,110,INE915K01010
AIAENG,EQ,1400.0,1400.0,1338.0,1355.05,1344.95,1381.75,31959,43562117.8,2017-09-22,5372,INE212H01026
AIFL,EQ,480.0,509.0,458.7,497.35,491.15,477.85,225259,111703414.95,2017-09-22,5570,INE428O01016
AJANTPHARM,EQ,1280.0,1297.65,1195.8,1208.5,1210.0,1256.6,1330550,1674371508.1,2017-09-22,40764,INE031B01049
AJMERA,EQ,235.1,236.6,227.1,228.95,227.95,237.25,151776,35292708.35,2017-09-22,2920,INE298G01027
AKSHARCHEM,EQ,733.0,780.0,733.0,756.15,756.1,738.05,55352,42322042.7,2017-09-22,2803,INE542B01011
AKSHOPTFBR,EQ,25.75,25.75,24.5,24.7,24.6,25.9,2194932,55095685.75,2017-09-22,4553,INE523B01011
AKZOINDIA,EQ,1929.0,1929.0,1855.0,1862.1,1872.0,1916.7,8656,16255788.0,2017-09-22,1105,INE133A01011
ALANKIT,EQ,33.95,34.15,32.3,33.35,33.3,33.65,1332832,44707877.65,2017-09-22,1544,INE914E01040
ALBERTDAVD,EQ,295.0,295.5,285.15,287.8,289.7,292.5,3098,899064.55,2017-09-22,198,INE155C01010
ALBK,EQ,71.5,71.5,68.4,68.85,68.55,72.05,2698414,188631553.0,2017-09-22,8280,INE428A01015
ALCHEM,EQ,13.5,13.5,13.1,13.3,13.4,13.4,19500,258918.45,2017-09-22,77,INE964B01033
ALEMBICLTD,EQ,42.8,42.9,40.0,40.2,40.2,43.1,1304014,54028342.75,2017-09-22,5188,INE426A01027
ALICON,EQ,542.9,554.4,530.05,538.85,545.0,540.65,2707,1457682.9,2017-09-22,230,INE062D01024
ALKEM,EQ,1800.35,1816.0,1789.4,1800.95,1800.0,1801.2,24540,44269355.85,2017-09-22,4009,INE540L01014
ALKYLAMINE,EQ,441.05,441.05,426.25,432.3,431.5,442.5,8538,3705223.75,2017-09-22,316,INE150B01021
ALLCARGO,EQ,172.3,173.75,170.6,172.95,173.0,172.85,253096,43512114.3,2017-09-22,2452,INE418H01029
ALLSEC,EQ,361.0,370.0,350.3,357.1,355.0,364.6,6779,2449086.2,2017-09-22,245,INE835G01018
ALMONDZ,EQ,26.45,26.85,25.0,25.25,25.4,25.75,12835,325249.85,2017-09-22,187,INE326B01027
ALOKTEXT,EQ,2.85,2.85,2.75,2.8,2.8,2.85,1884124,5287620.85,2017-09-22,2629,INE270A01011
ALPA,EQ,31.65,31.7,31.0,31.7,31.7,30.2,58866,1859659.0,2017-09-22,246,INE385I01010
ALPHAGEO,EQ,790.0,814.4,782.5,785.05,783.0,792.55,26856,21315955.4,2017-09-22,1525,INE137C01018
ALPSINDUS,EQ,5.7,5.7,5.3,5.35,5.4,5.75,54234,298321.8,2017-09-22,78,INE093B01015
AMARAJABAT,EQ,773.7,773.7,761.6,768.85,769.0,774.05,1072794,824250050.15,2017-09-22,11178,INE885A01032
AMBIKCO,EQ,1346.0,1355.0,1324.0,1338.25,1343.6,1344.85,2030,2724822.1,2017-09-22,220,INE540G01014
AMBUJACEM,EQ,275.25,275.25,268.0,269.9,268.3,276.75,3292766,890947463.0,2017-09-22,18880,INE079A01024
