SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
20MICRONS,EQ,36.7,37.75,36.3,36.45,36.6,37.3,26736,983720.7,2017-05-30,277,INE144J01027
3IINFOTECH,EQ,4.6,4.65,4.45,4.6,4.55,4.6,2425515,10988275.45,2017-05-30,847,INE748C01020
3MINDIA,EQ,14000.0,14334.0,13850.15,14020.3,14095.0,14001.25,1832,25869350.05,2017-05-30,590,INE470A01017
63MOONS,EQ,69.0,69.0,66.9,67.35,67.6,68.6,43117,2903354.85,2017-05-30,593,INE111B01023
8KMILES,EQ,557.0,567.8,557.0,564.15,563.0,563.8,49087,27711743.95,2017-05-30,800,INE650K01021
A2ZINFRA,EQ,41.3,41.65,38.7,40.2,40.2,41.5,906971,36409110.2,2017-05-30,5410,INE619I01012
AARTIDRUGS,EQ,490.0,497.0,483.6,487.2,488.5,490.35,7688,3752306.1,2017-05-30,428,INE767A01016
AARTIIND,EQ,832.6,878.9,832.6,875.25,876.0,844.3,37992,32732308.55,2017-05-30,5705,INE769A01020
AARVEEDEN,EQ,60.9,61.7,57.2,60.4,60.0,61.6,43122,2560908.2,2017-05-30,896,INE273D01019
ABAN,EQ,188.0,188.0,180.0,180.6,180.35,189.45,953138,173724638.0,2017-05-30,14757,INE421A01028
ABB,EQ,1460.1,1484.0,1437.15,1458.0,1451.2,1464.5,37494,54851654.65,2017-05-30,2666,INE117A01022
ABBOTINDIA,EQ,4027.0,4158.0,4000.0,4150.1,4150.0,4022.5,2672,10941856.4,2017-05-30,628,INE358A01014
ABFRL,EQ,168.35,170.95,166.1,169.35,168.0,168.35,264575,44795319.95,2017-05-30,5313,INE647O01011
ABIRLANUVO,EQ,1615.7,1664.0,1595.0,1654.55,1655.0,1613.75,244614,402535489.7,2017-05-30,14800,INE069A01017
ACC,EQ,1623.8,1641.75,1595.05,1635.15,1635.35,1624.4,300631,489452838.7,2017-05-30,9143,INE012A01025
ACCELYA,EQ,1278.0,1314.95,1265.3,1304.0,1310.0,1296.75,1278,1654341.6,2017-05-30,320,INE793A01012
ACE,EQ,62.2,68.0,61.3,64.2,64.2,62.65,952939,61776047.7,2017-05-30,6327,INE731H01025
ADANIENT,EQ,112.0,124.8,110.0,117.9,118.4,111.4,20862798,2483267901.55,2017-05-30,93123,INE423A01024
ADANIPORTS,EQ,328.4,342.9,327.45,340.35,341.0,327.8,3680879,1241380243.8,2017-05-30,51558,INE742F01042
ADANIPOWER,EQ,26.6,27.7,25.85,27.35,27.4,26.7,13584241,365656261.2,2017-05-30,18697,INE814H01011
ADANITRANS,EQ,110.05,115.9,104.9,115.3,115.9,110.4,1137688,128142499.65,2017-05-30,6317,INE931S01010
ADFFOODS,EQ,265.0,277.2,257.0,273.15,276.1,265.2,242131,64827501.0,2017-05-30,5088,INE982B01019
ADHUNIK,EQ,5.55,5.8,5.0,5.3,5.4,5.7,260033,1390747.45,2017-05-30,798,INE400H01019
ADHUNIKIND,EQ,103.0,106.2,102.05,103.45,102.15,103.85,36436,3834233.3,2017-05-30,197,INE452L01012
ADLABS,EQ,75.6,76.25,74.4,75.25,75.2,75.9,169462,12746166.45,2017-05-30,1326,INE172N01012
ADORWELD,EQ,316.0,324.3,312.5,317.5,317.0,323.1,19282,6162553.6,2017-05-30,147,INE045A01017
ADVANIHOTR,EQ,53.85,53.9,52.2,53.05,53.1,54.15,1957,103761.55,2017-05-30,29,INE199C01026
ADVENZYMES,EQ,381.0,381.95,357.2,358.8,358.25,380.85,668749,243448367.35,2017-05-30,21917,INE837H01020
AEGISCHEM,EQ,199.45,206.8,195.0,205.0,205.5,199.35,259642,52349357.75,2017-05-30,3641,INE208C01025
AGRITECH,EQ,47.0,47.1,46.3,47.1,47.1,44.9,30819,1448458.2,2017-05-30,238,INE449G01018
AHLEAST,EQ,285.05,292.1,285.0,291.7,292.0,290.0,1065,308008.45,2017-05-30,45,INE926K01017
AHLUCONT,EQ,377.0,391.0,366.75,380.6,385.0,380.1,11971,4499156.25,2017-05-30,624,INE758C01029
AHLWEST,EQ,195.0,197.0,190.0,190.85,195.0,197.0,223,42577.15,2017-05-30,23,INE915K01010
AIAENG,EQ,1426.05,1470.0,1394.95,1442.0,1462.0,1430.05,60447,86730491.75,2017-05-30,5349,INE212H01026
AIFL,EQ,397.5,415.75,396.8,402.8,404.0,396.75,78077,31865824.45,2017-05-30,1862,INE428O01016
AJANTPHARM,EQ,1520.2,1565.05,1518.0,1549.0,1560.05,1536.3,119526,184757404.3,2017-05-30,6259,INE031B01049
AJMERA,EQ,236.35,248.4,233.3,246.4,248.0,236.1,141145,34132758.05,2017-05-30,2647,INE298G01027
AKSHARCHEM,EQ,780.0,810.0,771.1,774.95,777.95,790.55,21788,17043417.25,2017-05-30,1162,INE542B01011
AKSHOPTFBR,EQ,18.7,19.05,18.5,18.9,18.9,18.75,503561,9423728.4,2017-05-30,1325,INE523B01011
AKZOINDIA,EQ,1800.3,1802.95,1781.0,1788.8,1791.0,1806.25,5617,10050016.7,2017-05-30,520,INE133A01011
ALANKIT,EQ,26.05,27.5,25.55,26.7,26.85,26.45,6787899,176234665.5,2017-05-30,3937,INE914E01040
ALBERTDAVD,EQ,284.1,291.9,275.0,287.6,288.0,284.7,5049,1439698.6,2017-05-30,161,INE155C01010
ALBK,EQ,70.2,71.95,68.65,71.15,71.2,70.55,7596231,537488433.55,2017-05-30,20555,INE428A01015
ALCHEM,EQ,17.2,17.3,16.7,17.15,17.05,17.15,16128,274564.3,2017-05-30,117,INE964B01033
ALEMBICLTD,EQ,40.1,40.9,39.75,40.35,40.5,40.55,423025,17060182.05,2017-05-30,1632,INE426A01027
ALICON,EQ,485.0,485.0,480.0,484.0,482.0,490.1,698,337251.35,2017-05-30,75,INE062D01024
ALKALI,EQ,67.5,70.8,66.4,66.65,66.95,68.4,3569,239860.1,2017-05-30,111,INE773I01017
ALKEM,EQ,1818.5,1886.0,1809.05,1874.35,1868.0,1820.15,23346,43065413.25,2017-05-30,4224,INE540L01014
ALKYLAMINE,EQ,397.1,397.75,387.05,390.05,387.2,394.9,2895,1133839.05,2017-05-30,162,INE150B01021
ALLCARGO,EQ,176.3,177.75,173.35,175.65,175.05,176.4,60775,10667244.9,2017-05-30,1201,INE418H01029
ALLSEC,EQ,320.25,330.8,315.05,329.15,329.95,319.65,12511,4071665.3,2017-05-30,474,INE835G01018
ALMONDZ,EQ,16.5,16.5,15.8,16.05,16.0,16.65,2833,45507.5,2017-05-30,34,INE326B01027
ALOKTEXT,EQ,3.15,3.15,3.0,3.05,3.05,3.1,1564600,4774432.45,2017-05-30,570,INE270A01011
ALPHAGEO,EQ,1085.0,1085.0,1010.0,1021.3,1015.15,989.65,201614,209716966.0,2017-05-30,9231,INE137C01018
ALPSINDUS,EQ,6.6,6.8,6.6,6.75,6.8,6.75,18214,121940.45,2017-05-30,52,INE093B01015
AMARAJABAT,EQ,859.65,870.0,846.2,868.35,866.05,858.35,229799,198463402.4,2017-05-30,8251,INE885A01032
AMBIKCO,EQ,1301.05,1329.65,1298.0,1302.65,1300.0,1316.65,1863,2437380.05,2017-05-30,274,INE540G01014
AMBUJACEM,EQ,240.0,244.25,237.3,242.45,242.0,240.25,2348911,566880978.5,2017-05-30,18853,INE079A01024
AMDIND,EQ,29.5,33.7,28.5,32.05,31.9,28.35,439101,14160020.5,2017-05-30,2856,INE005I01014
AMRUTANJAN,EQ,690.0,706.75,682.5,685.45,686.65,689.7,2792,1927185.45,2017-05-30,689,INE098F01023
AMTEKAUTO,EQ,34.75,35.25,34.25,34.45,34.6,34.75,1616202,56112465.05,2017-05-30,6574,INE130C01021
ANANDAMRUB,EQ,17.5,18.35,17.5,18.35,18.35,17.5,600,10797.5,2017-05-30,3,INE618N01014
ANANTRAJ,EQ,62.4,63.9,61.0,62.95,63.15,63.1,987472,61589681.05,2017-05-30,4850,INE242C01024
ANDHRABANK,EQ,58.5,59.7,57.35,59.35,59.5,58.2,3881516,228285821.85,2017-05-30,7743,INE434A01013
ANDHRACEMT,EQ,8.7,9.35,8.7,9.25,9.3,8.95,82821,752368.05,2017-05-30,166,INE666E01012
ANDHRSUGAR,EQ,306.55,317.0,306.0,311.65,312.4,306.5,89675,27940321.45,2017-05-30,2072,INE715B01013
ANGIND,EQ,8.75,9.3,8.75,9.2,9.3,8.95,17994,162514.9,2017-05-30,92,INE017D01010
ANKITMETAL,EQ,1.6,1.6,1.55,1.6,1.6,1.65,23699,37377.95,2017-05-30,31,INE106I01010
ANSALAPI,EQ,23.9,24.65,23.2,24.4,24.3,24.4,395906,9492591.55,2017-05-30,1408,INE436A01026
ANSALHSG,EQ,27.1,28.7,26.1,27.75,27.6,28.65,149363,4103878.9,2017-05-30,748,INE880B01015
APARINDS,EQ,853.0,870.0,838.35,865.6,868.45,850.85,28639,24463038.7,2017-05-30,1697,INE372A01015
APCL,EQ,229.5,229.5,226.0,227.95,226.0,229.9,1976,450902.3,2017-05-30,37,INE071F01012
APCOTEXIND,EQ,380.0,380.75,367.1,369.85,368.1,374.5,15713,5818584.4,2017-05-30,598,INE116A01024
APLAPOLLO,EQ,1439.0,1443.9,1393.1,1424.95,1435.0,1412.2,4961,7074845.85,2017-05-30,814,INE702C01019
APLLTD,EQ,526.3,545.0,526.3,538.8,540.95,534.9,37025,19917506.7,2017-05-30,2240,INE901L01018
APOLLOHOSP,EQ,1219.0,1245.45,1187.3,1207.65,1206.05,1213.05,524881,640644971.6,2017-05-30,29190,INE437A01024
APOLLOTYRE,EQ,224.0,229.75,222.85,228.2,229.0,225.65,2050162,467190212.7,2017-05-30,22093,INE438A01022
APOLSINHOT,EQ,639.0,639.0,622.0,639.0,639.0,631.9,51,32382.0,2017-05-30,6,INE451F01016
APTECHT,EQ,187.5,187.5,182.15,183.65,183.5,187.7,134233,24741150.35,2017-05-30,2139,INE266F01018
ARCHIDPLY,EQ,79.4,79.9,76.0,78.65,79.8,78.0,51895,4045260.75,2017-05-30,827,INE877I01016
ARCHIES,EQ,27.45,27.7,26.9,27.1,27.25,27.65,54821,1487019.45,2017-05-30,372,INE731A01020
ARCOTECH,EQ,343.55,343.55,333.3,337.45,338.5,344.45,42600,14398384.95,2017-05-30,1530,INE574I01027
