SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
20MICRONS,EQ,28.65,28.8,27.7,28.55,28.5,28.3,21378,604274.45,2016-05-31,198,INE144J01027
3IINFOTECH,EQ,4.0,4.0,3.8,3.8,3.85,3.95,1475976,5694890.85,2016-05-31,627,INE748C01020
3MINDIA,EQ,12550.0,12550.55,12174.05,12415.15,12470.0,12500.5,1191,14772559.55,2016-05-31,315,INE470A01017
8KMILES,EQ,1694.0,1735.0,1628.5,1692.55,1690.0,1683.6,29495,49827575.15,2016-05-31,3893,INE650K01013
A2ZINFRA,EQ,25.9,25.9,24.8,24.9,24.85,26.05,157413,3948999.4,2016-05-31,1204,INE619I01012
AARTIDRUGS,EQ,461.35,467.85,461.35,463.1,462.4,462.1,4884,2263835.55,2016-05-31,351,INE767A01016
AARTIIND,EQ,519.55,522.0,514.05,519.35,521.05,517.4,9748,5052633.1,2016-05-31,1178,INE769A01020
AARVEEDEN,EQ,58.2,60.0,57.0,58.1,57.5,59.7,4540,262980.45,2016-05-31,63,INE273D01019
ABAN,EQ,199.8,200.5,195.1,196.6,197.0,198.8,536085,105539437.5,2016-05-31,7690,INE421A01028
ABB,EQ,1215.0,1243.0,1212.1,1237.0,1236.0,1212.75,40248,49395371.25,2016-05-31,3013,INE117A01022
ABBOTINDIA,EQ,4775.0,4775.1,4683.0,4705.05,4697.1,4756.5,543,2568285.5,2016-05-31,212,INE358A01014
ABFRL,EQ,136.5,138.25,129.6,131.75,130.55,135.95,3100153,417515967.3,2016-05-31,38381,INE647O01011
ABGSHIP,EQ,24.5,25.0,23.7,24.55,24.35,25.05,629890,15309136.5,2016-05-31,2822,INE067H01016
ABIRLANUVO,EQ,1049.0,1067.25,1036.2,1045.95,1049.55,1048.8,283375,297347289.25,2016-05-31,12817,INE069A01017
ACC,EQ,1535.05,1546.5,1521.5,1529.05,1523.25,1537.15,447261,687726333.35,2016-05-31,18046,INE012A01025
ACCELYA,EQ,1100.0,1110.0,1080.0,1093.25,1090.0,1108.75,3197,3519804.35,2016-05-31,235,INE793A01012
ACE,EQ,40.7,41.0,39.85,40.15,40.1,40.7,36429,1470298.3,2016-05-31,194,INE731H01025
ADANIENT,EQ,75.35,75.35,71.9,72.85,72.7,74.65,3439525,251742829.4,2016-05-31,14841,INE423A01024
ADANIPORTS,EQ,190.25,194.7,186.55,192.15,193.1,190.25,6758009,1293614393.6,2016-05-31,65871,INE742F01042
ADANIPOWER,EQ,30.1,30.6,29.25,29.8,29.7,30.2,4604628,137960786.15,2016-05-31,10902,INE814H01011
ADANITRANS,EQ,31.5,32.4,31.1,31.9,31.65,31.3,3253179,103214713.75,2016-05-31,11990,INE931S01010
ADFFOODS,EQ,86.45,87.6,84.9,85.3,85.05,87.15,29929,2562103.2,2016-05-31,472,INE982B01019
ADHUNIK,EQ,7.8,7.9,7.55,7.6,7.7,7.65,48616,376050.45,2016-05-31,591,INE400H01019
ADI,EQ,287.2,288.9,279.1,281.15,280.0,287.3,1608,455421.85,2016-05-31,68,INE959A01019
ADLABS,EQ,81.55,84.5,81.5,83.2,83.25,81.75,60293,5022703.9,2016-05-31,1165,INE172N01012
ADORWELD,EQ,289.8,294.95,284.95,289.4,290.35,282.3,5706,1653018.3,2016-05-31,193,INE045A01017
ADSL,EQ,31.05,32.25,29.65,30.4,30.4,32.2,142988,4400175.9,2016-05-31,1132,INE102I01027
ADVANIHOTR,EQ,50.1,51.3,50.0,50.0,50.0,51.0,1777,88991.35,2016-05-31,15,INE199C01026
ADVANTA,EQ,606.4,666.4,605.15,655.95,649.0,605.1,252591,164021274.75,2016-05-31,11112,INE517H01028
AEGISCHEM,EQ,113.95,115.7,111.75,114.6,113.95,112.15,930680,106150010.5,2016-05-31,18011,INE208C01025
AFL,EQ,50.1,51.8,48.5,50.3,50.15,50.75,6367,322350.2,2016-05-31,137,INE020G01017
AGARIND,EQ,114.5,118.45,112.25,113.0,113.0,114.2,4011,456265.55,2016-05-31,80,INE204E01012
AGCNET,EQ,60.6,62.5,60.0,60.85,61.0,60.7,1843,111441.75,2016-05-31,26,INE676A01019
AGRITECH,EQ,7.55,7.55,7.55,7.55,7.55,7.2,522,3941.1,2016-05-31,4,INE449G01018
AGRODUTCH,EQ,2.4,2.4,2.3,2.4,2.4,2.4,1865,4426.0,2016-05-31,7,INE135B01014
AHLEAST,EQ,185.0,188.0,172.6,179.15,173.35,186.95,646,115672.0,2016-05-31,50,INE926K01017
AHLUCONT,EQ,276.0,277.15,271.15,273.0,273.0,279.15,3019,828954.6,2016-05-31,135,INE758C01029
AHLWEST,EQ,128.3,136.0,126.3,133.55,136.0,132.05,428,56334.25,2016-05-31,46,INE915K01010
AIAENG,EQ,941.0,959.6,937.0,941.2,948.85,939.25,34745,32704301.35,2016-05-31,5096,INE212H01026
