SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
20MICRONS,EQ,50.25,51.1,49.2,49.45,49.4,49.95,60512,3006601.05,2018-04-06,491,INE144J01027
3IINFOTECH,EQ,5.25,5.3,5.15,5.25,5.3,5.25,2860386,14995326.7,2018-04-06,897,INE748C01020
3MINDIA,EQ,20672.05,20812.0,20600.0,20715.8,20665.0,20638.7,772,16013926.9,2018-04-06,335,INE470A01017
63MOONS,EQ,96.35,100.9,96.35,98.25,98.15,97.45,449079,44359641.9,2018-04-06,5213,INE111B01023
8KMILES,EQ,698.75,712.5,694.25,706.0,708.5,694.45,211170,149371131.85,2018-04-06,10371,INE650K01021
A2ZINFRA,EQ,28.75,29.55,28.45,29.0,28.9,28.75,578086,16818940.65,2018-04-06,2112,INE619I01012
AARTIDRUGS,EQ,564.8,609.5,557.55,584.9,586.1,563.1,15545,9149868.25,2018-04-06,862,INE767A01016
AARTIIND,EQ,1186.0,1191.55,1170.0,1181.65,1180.0,1186.6,12884,15196026.9,2018-04-06,1851,INE769A01020
AARVEEDEN,EQ,46.3,46.55,45.45,46.0,46.0,45.15,11908,548115.0,2018-04-06,118,INE273D01019
ABAN,EQ,161.65,165.0,161.2,163.4,163.45,162.15,733843,119743513.95,2018-04-06,8841,INE421A01028
ABB,EQ,1286.4,1300.0,1283.3,1291.35,1288.75,1278.6,37582,48567389.9,2018-04-06,2744,INE117A01022
ABBOTINDIA,EQ,5710.95,5740.0,5658.0,5712.1,5700.0,5712.85,601,3432264.9,2018-04-06,234,INE358A01014
ABCAPITAL,EQ,156.4,158.3,154.5,157.0,157.15,155.55,2796924,438147124.55,2018-04-06,18168,INE674K01013
ABFRL,EQ,149.0,150.85,147.6,148.55,148.4,149.95,130723,19453891.1,2018-04-06,1509,INE647O01011
ACC,EQ,1558.0,1560.95,1542.85,1553.25,1546.25,1552.35,119196,185033652.6,2018-04-06,6261,INE012A01025
ACCELYA,EQ,1352.7,1360.0,1340.0,1354.0,1346.5,1352.95,1272,1721773.9,2018-04-06,225,INE793A01012
ACE,EQ,176.45,183.3,174.0,179.7,179.75,176.3,935666,168548765.0,2018-04-06,8765,INE731H01025
ADANIENT,EQ,148.25,154.65,147.7,149.75,150.0,147.85,10623849,1607259246.25,2018-04-06,57055,INE423A01024
ADANIPORTS,EQ,378.45,383.6,374.65,379.3,381.0,375.95,2037081,773100896.0,2018-04-06,23142,INE742F01042
ADANIPOWER,EQ,25.6,26.0,25.3,25.65,25.65,25.5,14599472,374244221.05,2018-04-06,15886,INE814H01011
