SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
20MICRONS,EQ,58.7,60.5,58.5,59.2,59.5,58.05,191320,11345473.8,2018-01-03,1004,INE144J01027
3IINFOTECH,EQ,8.0,8.0,8.0,8.0,8.0,8.4,899850,7198800.0,2018-01-03,906,INE748C01020
3MINDIA,EQ,18990.0,19990.0,18969.95,19400.4,19388.0,18904.05,4750,92338646.65,2018-01-03,1379,INE470A01017
5PAISA,EQ,325.6,347.8,325.6,332.5,331.65,339.6,34131,11542420.95,2018-01-03,948,INE618L01018
63MOONS,EQ,118.5,123.5,117.0,119.4,119.6,117.75,550904,66350766.8,2018-01-03,5240,INE111B01023
8KMILES,EQ,895.35,904.9,880.0,884.35,882.05,891.2,101522,90549483.9,2018-01-03,4251,INE650K01021
A2ZINFRA,EQ,44.65,47.6,43.7,46.95,46.95,44.45,9176175,423182617.9,2018-01-03,24221,INE619I01012
AARTIDRUGS,EQ,642.5,715.0,641.75,708.0,707.05,636.35,249242,173081249.4,2018-01-03,10146,INE767A01016
AARTIIND,EQ,1138.85,1154.8,1133.0,1151.85,1153.0,1132.9,111132,127535908.6,2018-01-03,5119,INE769A01020
AARVEEDEN,EQ,48.0,49.8,48.0,48.85,49.1,49.4,63155,3106970.25,2018-01-03,203,INE273D01019
ABAN,EQ,206.0,209.0,203.55,205.05,204.9,205.45,1399871,288613288.1,2018-01-03,13449,INE421A01028
ABB,EQ,1401.0,1424.5,1401.0,1414.45,1420.0,1400.2,57470,81398953.5,2018-01-03,3150,INE117A01022
ABBOTINDIA,EQ,5497.95,5497.95,5425.0,5436.25,5425.0,5443.55,694,3787996.45,2018-01-03,167,INE358A01014
ABCAPITAL,EQ,186.0,186.3,184.1,184.6,184.7,185.25,2035734,376202438.3,2018-01-03,35201,INE674K01013
ABFRL,EQ,171.2,182.6,169.25,171.8,171.0,171.2,1653907,290050325.05,2018-01-03,14795,INE647O01011
ACC,EQ,1741.1,1780.0,1740.1,1774.6,1780.0,1743.2,194666,342914946.05,2018-01-03,10000,INE012A01025
ACCELYA,EQ,1449.0,1449.0,1428.65,1434.1,1439.0,1431.85,1027,1472811.0,2018-01-03,137,INE793A01012
ACE,EQ,141.3,144.8,139.0,141.65,141.65,140.15,652882,92293329.25,2018-01-03,5476,INE731H01025
ADANIENT,EQ,163.9,180.25,163.9,176.2,176.5,163.9,21268697,3736201856.8,2018-01-03,97625,INE423A01024
ADANIPORTS,EQ,398.1,410.9,397.45,407.65,408.75,397.4,4679468,1903704768.75,2018-01-03,63719,INE742F01042
ADANIPOWER,EQ,43.7,45.0,43.6,44.25,44.25,43.35,36109485,1605913710.1,2018-01-03,66283,INE814H01011
ADANITRANS,EQ,212.8,217.45,210.0,212.0,212.9,210.5,900926,192718517.3,2018-01-03,10806,INE931S01010
ADFFOODS,EQ,310.0,322.15,307.5,313.1,314.0,307.55,524256,165673343.85,2018-01-03,7226,INE982B01019
ADHUNIK,EQ,6.95,6.95,6.25,6.35,6.4,6.6,478330,3137189.05,2018-01-03,2254,INE400H01019
ADORWELD,EQ,520.0,613.0,520.0,603.85,600.6,514.4,989190,574941073.65,2018-01-03,29682,INE045A01017
ADVANIHOTR,EQ,78.0,79.6,76.95,77.65,77.15,77.4,16449,1283503.9,2018-01-03,254,INE199C01026
