SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
20MICRONS,EQ,56.2,56.2,54.7,55.0,54.8,55.7,76360,4221582.1,2018-01-19,701,INE144J01027
3IINFOTECH,EQ,7.2,7.25,7.05,7.05,7.05,7.4,11783318,83498829.15,2018-01-19,3381,INE748C01020
3MINDIA,EQ,18188.0,18248.0,18100.0,18182.15,18220.0,18105.35,659,11978348.95,2018-01-19,251,INE470A01017
5PAISA,EQ,337.95,337.95,316.1,329.65,333.95,331.5,15397,5055440.35,2018-01-19,574,INE618L01018
63MOONS,EQ,108.45,109.7,104.3,106.15,105.85,107.35,297648,31808686.1,2018-01-19,3606,INE111B01023
8KMILES,EQ,833.55,847.95,815.0,826.05,828.1,832.3,78445,65215275.2,2018-01-19,3877,INE650K01021
A2ZINFRA,EQ,39.5,40.5,38.3,40.05,40.0,39.3,1586122,62419122.15,2018-01-19,5714,INE619I01012
AARTIDRUGS,EQ,719.9,719.9,687.05,698.0,697.0,715.95,14742,10305314.05,2018-01-19,777,INE767A01016
AARTIIND,EQ,1105.0,1150.0,1101.0,1126.35,1144.0,1112.85,21710,24166398.05,2018-01-19,1371,INE769A01020
AARVEEDEN,EQ,54.05,55.85,53.75,54.85,55.05,54.55,228557,12479375.6,2018-01-19,1342,INE273D01019
ABAN,EQ,234.1,237.5,225.6,230.05,229.0,232.9,2444981,563994656.15,2018-01-19,27333,INE421A01028
ABB,EQ,1540.55,1620.0,1512.6,1585.85,1616.0,1541.9,105094,164166299.7,2018-01-19,5367,INE117A01022
ABBOTINDIA,EQ,5401.05,5498.75,5401.05,5488.1,5498.75,5435.7,1699,9290240.0,2018-01-19,602,INE358A01014
ABCAPITAL,EQ,177.0,179.3,176.0,177.05,177.05,176.6,1998381,354495359.65,2018-01-19,17224,INE674K01013
ABFRL,EQ,165.0,168.4,163.1,167.5,167.1,165.5,355524,59086400.4,2018-01-19,17669,INE647O01011
ACC,EQ,1828.25,1836.35,1811.0,1829.5,1835.0,1839.0,267132,487063416.05,2018-01-19,10064,INE012A01025
ACCELYA,EQ,1480.0,1492.45,1428.05,1454.3,1452.0,1488.35,3093,4497293.75,2018-01-19,413,INE793A01012
ACE,EQ,154.0,154.15,148.1,151.55,152.15,153.3,434865,65632996.7,2018-01-19,5817,INE731H01025
ADANIENT,EQ,195.25,201.0,188.55,199.7,199.2,195.25,14032888,2737476385.65,2018-01-19,72082,INE423A01024
ADANIPORTS,EQ,418.8,435.45,418.8,433.45,433.75,416.25,7588904,3251362318.5,2018-01-19,79999,INE742F01042
ADANIPOWER,EQ,36.7,38.25,36.05,38.05,37.95,36.95,15908701,593485425.75,2018-01-19,28033,INE814H01011
ADANITRANS,EQ,226.1,232.45,222.15,228.35,228.1,227.75,892009,202872132.55,2018-01-19,11449,INE931S01010
ADFFOODS,EQ,284.5,291.5,279.0,287.85,289.8,284.75,184619,52432176.0,2018-01-19,3472,INE982B01019
ADORWELD,EQ,548.5,562.0,536.9,541.1,540.0,545.95,36106,19663992.7,2018-01-19,1713,INE045A01017
ADVANIHOTR,EQ,76.3,80.0,73.85,77.9,78.0,76.05,50040,3847357.2,2018-01-19,495,INE199C01026
ADVENZYMES,EQ,295.9,295.95,285.7,289.7,289.15,294.3,238524,69171986.9,2018-01-19,3843,INE837H01020
