SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
20MICRONS,EQ,36.0,36.7,35.6,35.8,36.0,35.5,21189,766487.05,2018-07-09,312,INE144J01027
21STCENMGM,EQ,34.0,34.0,33.8,33.85,33.85,34.45,263,8922.5,2018-07-09,11,INE253B01015
3IINFOTECH,EQ,4.0,4.15,4.0,4.05,4.05,4.0,5140701,20828662.95,2018-07-09,3422,INE748C01020
3MINDIA,EQ,19663.0,19910.55,19650.0,19873.3,19900.0,19861.35,553,10958900.2,2018-07-09,125,INE470A01017
3PLAND,EQ,14.4,15.1,13.65,14.45,13.65,14.45,3422,50777.1,2018-07-09,9,INE105C01023
5PAISA,EQ,285.0,292.15,272.25,292.15,292.15,278.25,5855,1690501.8,2018-07-09,248,INE618L01018
63MOONS,EQ,75.1,76.8,74.85,75.2,75.25,74.9,143853,10880552.8,2018-07-09,1637,INE111B01023
8KMILES,EQ,388.0,394.8,377.1,383.15,383.6,376.5,677889,259594956.15,2018-07-09,17197,INE650K01021
A2ZINFRA,EQ,20.9,21.9,20.4,21.5,21.5,20.5,355249,7484483.45,2018-07-09,1169,INE619I01012
AARTIDRUGS,EQ,548.0,578.0,541.0,570.6,574.95,550.0,21380,12089831.75,2018-07-09,2536,INE767A01016
AARTIIND,EQ,1197.0,1239.7,1197.0,1237.55,1235.0,1204.55,12342,15153394.1,2018-07-09,1224,INE769A01020
AARVEEDEN,EQ,30.5,32.95,30.5,31.25,32.4,31.2,1310,40961.7,2018-07-09,47,INE273D01019
ABAN,EQ,113.0,114.6,112.3,113.25,112.65,112.5,353837,40105334.0,2018-07-09,4058,INE421A01028
ABB,EQ,1175.35,1206.0,1175.35,1201.15,1200.0,1174.25,77625,93040190.5,2018-07-09,6035,INE117A01022
ABBOTINDIA,EQ,7280.0,7280.0,7140.05,7152.0,7166.65,7172.45,13036,93771600.4,2018-07-09,1181,INE358A01014
ABCAPITAL,EQ,128.4,129.4,127.6,127.95,127.95,126.95,1179352,151525642.85,2018-07-09,12172,INE674K01013
ABFRL,EQ,139.85,141.0,138.0,138.9,138.4,138.85,238996,33213003.85,2018-07-09,3942,INE647O01011
ACC,EQ,1377.0,1395.5,1371.1,1375.8,1372.0,1373.7,315690,436944688.0,2018-07-09,10870,INE012A01025
ACCELYA,EQ,1155.35,1160.0,1138.1,1149.85,1147.7,1155.35,1993,2288541.5,2018-07-09,284,INE793A01012
ACE,EQ,126.3,127.9,124.0,126.7,127.0,122.9,327933,41447792.35,2018-07-09,3036,INE731H01025
ADANIENT,EQ,111.5,113.35,108.7,111.65,111.8,110.95,6004307,668654001.65,2018-07-09,31012,INE423A01024
ADANIGREEN,EQ,30.45,31.4,29.55,30.95,30.65,30.35,616718,19057915.75,2018-07-09,5106,INE364U01010
ADANIPORTS,EQ,367.0,369.9,365.6,366.95,367.6,365.75,1050376,386245832.75,2018-07-09,47252,INE742F01042
ADANIPOWER,EQ,16.65,17.0,16.4,16.55,16.6,16.65,8137741,135241179.1,2018-07-09,8243,INE814H01011
ADANITRANS,EQ,160.5,162.45,156.15,161.55,161.75,160.3,536408,85996125.85,2018-07-09,3634,INE931S01010
ADFFOODS,EQ,237.95,249.9,237.95,248.05,244.5,237.15,123067,30312919.1,2018-07-09,2287,INE982B01019
ADHUNIK,EQ,4.3,4.3,4.3,4.3,4.3,3.95,75054,322732.2,2018-07-09,53,INE400H01019
ADHUNIKIND,EQ,80.5,80.5,75.05,76.65,76.4,78.7,17151,1327679.05,2018-07-09,127,INE452L01012
ADLABS,EQ,38.3,39.65,38.2,38.45,38.3,38.2,68135,2643586.7,2018-07-09,791,INE172N01012
ADORWELD,EQ,300.8,300.8,287.3,288.85,290.0,293.6,18691,5443457.4,2018-07-09,471,INE045A01017
ADROITINFO,EQ,30.8,31.35,30.0,30.25,30.25,30.8,5600,172594.55,2018-07-09,56,INE737B01033
ADSL,EQ,18.0,18.0,16.0,16.6,16.5,16.75,43224,720042.5,2018-07-09,192,INE102I01027
ADVANIHOTR,EQ,50.95,54.9,50.5,52.6,52.55,50.65,12174,640080.5,2018-07-09,178,INE199C01026
ADVENZYMES,EQ,211.9,214.0,209.0,210.7,210.5,211.1,94817,20058934.65,2018-07-09,1841,INE837H01020
AEGISCHEM,EQ,219.0,228.7,217.25,227.2,227.5,216.35,87927,19702639.7,2018-07-09,3749,INE208C01025
AFL,EQ,53.65,56.65,53.65,54.95,54.9,54.8,12247,672803.35,2018-07-09,25,INE020G01017
AGARIND,EQ,270.55,274.35,270.0,272.6,272.6,270.55,135,36593.2,2018-07-09,14,INE204E01012
AGCNET,EQ,103.5,108.5,101.2,106.1,103.35,102.1,3737,388895.7,2018-07-09,50,INE676A01019
AGLSL,EQ,85.35,85.35,81.0,82.5,81.0,83.0,2389,197929.65,2018-07-09,30,INE517U01013
AGRITECH,EQ,102.9,104.8,102.0,103.4,103.5,102.85,12787,1315743.2,2018-07-09,278,INE449G01018
AHLEAST,EQ,260.0,263.0,257.35,262.8,262.95,260.8,919,239334.1,2018-07-09,48,INE926K01017
AHLUCONT,EQ,340.4,344.5,336.0,336.85,336.0,341.4,6062,2056971.6,2018-07-09,298,INE758C01029
AIAENG,EQ,1522.0,1589.0,1522.0,1580.65,1580.95,1541.6,10973,17223782.9,2018-07-09,1482,INE212H01026
AIFL,EQ,446.0,447.85,445.0,445.15,445.0,446.45,45567,20291375.75,2018-07-09,607,INE428O01016
AJANTPHARM,EQ,1014.5,1037.0,1012.5,1027.4,1025.0,1009.45,271982,279368223.1,2018-07-09,9035,INE031B01049
AJMERA,EQ,209.5,219.3,209.0,216.75,215.25,206.5,47937,10288942.6,2018-07-09,1959,INE298G01027
AKSHARCHEM,EQ,528.0,547.95,525.6,545.85,546.0,534.65,2274,1218647.95,2018-07-09,178,INE542B01011
AKSHOPTFBR,EQ,29.4,31.2,29.25,30.25,30.05,29.25,2260370,68148822.85,2018-07-09,7399,INE523B01011
AKZOINDIA,EQ,1875.0,1891.9,1870.0,1876.85,1875.0,1877.1,6783,12733705.55,2018-07-09,1194,INE133A01011
ALANKIT,EQ,25.9,26.35,25.3,25.65,25.9,25.15,762141,19486455.5,2018-07-09,2372,INE914E01040
ALBERTDAVD,EQ,444.9,450.0,435.05,438.45,440.0,445.2,2383,1059950.65,2018-07-09,88,INE155C01010
ALBK,EQ,42.95,43.1,42.05,42.65,42.7,42.5,3815833,162609786.55,2018-07-09,7223,INE428A01015
ALEMBICLTD,EQ,39.5,40.9,39.5,40.05,40.2,39.5,295473,11860657.6,2018-07-09,1345,INE426A01027
ALICON,EQ,592.65,606.0,588.2,606.0,606.0,596.0,1239,744094.25,2018-07-09,136,INE062D01024
ALKALI,EQ,65.0,69.35,63.15,68.35,67.8,66.35,4567,307236.35,2018-07-09,193,INE773I01017
ALKEM,EQ,1898.0,1918.0,1870.0,1909.35,1906.5,1880.05,7314,13862213.95,2018-07-09,2617,INE540L01014
ALKYLAMINE,EQ,630.0,647.8,627.0,647.8,647.8,630.95,1236,788312.85,2018-07-09,93,INE150B01021
ALLCARGO,EQ,117.65,122.2,116.55,121.65,121.75,115.5,414405,49686998.6,2018-07-09,4713,INE418H01029
ALLSEC,EQ,278.9,278.95,268.95,274.95,273.0,270.85,7293,1993560.35,2018-07-09,169,INE835G01018
ALPA,EQ,26.6,26.95,26.15,26.7,26.7,26.25,5244,139736.8,2018-07-09,50,INE385I01010
ALPHAGEO,EQ,594.0,622.0,594.0,618.5,616.0,592.55,11233,6821993.95,2018-07-09,705,INE137C01018
