SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
20MICRONS,EQ,34.9,35.2,33.9,34.4,34.75,34.6,42383,1456395.4,2018-07-20,607,INE144J01027
21STCENMGM,EQ,34.9,34.9,34.9,34.9,34.9,34.25,1202,41949.8,2018-07-20,4,INE253B01015
3IINFOTECH,EQ,3.55,3.7,3.5,3.5,3.5,3.6,2998992,10717093.0,2018-07-20,1137,INE748C01020
3MINDIA,EQ,21541.0,23490.0,21318.55,23338.75,23100.0,21722.15,9813,222218068.85,2018-07-20,4330,INE470A01017
3PLAND,EQ,15.0,15.0,12.65,13.15,13.1,13.45,2517,33735.6,2018-07-20,28,INE105C01023
5PAISA,EQ,294.75,304.95,294.75,300.85,302.0,304.05,2925,875384.8,2018-07-20,241,INE618L01018
63MOONS,EQ,65.25,66.8,63.1,65.55,65.2,65.2,216988,14102114.15,2018-07-20,2403,INE111B01023
8KMILES,EQ,335.0,339.0,307.5,307.5,307.5,341.65,1422247,444749983.25,2018-07-20,21142,INE650K01021
A2ZINFRA,EQ,19.65,20.1,19.3,19.8,19.7,19.8,168417,3304622.9,2018-07-20,740,INE619I01012
AARTIDRUGS,EQ,520.7,527.0,520.0,521.75,520.0,520.95,5263,2757494.05,2018-07-20,538,INE767A01016
AARTIIND,EQ,1197.15,1229.8,1197.15,1215.45,1211.0,1204.4,7544,9197825.1,2018-07-20,1295,INE769A01020
AARVEEDEN,EQ,29.6,30.4,28.8,29.1,29.1,29.55,8583,250922.4,2018-07-20,63,INE273D01019
ABAN,EQ,101.8,103.95,100.15,101.9,102.3,102.2,462821,47025017.7,2018-07-20,5859,INE421A01028
ABB,EQ,1164.9,1179.95,1129.0,1134.95,1132.0,1157.6,186787,215143192.55,2018-07-20,14947,INE117A01022
ABBOTINDIA,EQ,7286.0,7348.75,7193.6,7311.95,7325.0,7266.2,3185,23211751.7,2018-07-20,813,INE358A01014
ABCAPITAL,EQ,126.0,127.8,125.1,126.45,126.9,125.55,1206816,152138515.6,2018-07-20,11165,INE674K01013
ABFRL,EQ,136.05,136.8,134.25,135.05,135.0,136.05,883312,118859264.35,2018-07-20,1440,INE647O01011
ACC,EQ,1297.0,1297.0,1267.65,1293.0,1292.3,1274.5,272055,349739765.15,2018-07-20,9555,INE012A01025
ACCELYA,EQ,1069.0,1101.85,1058.45,1096.9,1095.0,1069.8,4517,4904186.5,2018-07-20,343,INE793A01012
