SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
20MICRONS,EQ,42.2,43.55,41.0,43.0,43.0,41.65,139193,5885953.4,2018-05-31,802,INE144J01027
21STCENMGM,EQ,38.0,38.5,37.55,38.5,38.5,38.3,2666,100556.25,2018-05-31,46,INE253B01015
3IINFOTECH,EQ,4.85,4.85,4.75,4.75,4.75,4.8,1103902,5298891.15,2018-05-31,579,INE748C01020
3MINDIA,EQ,20099.0,20099.95,19487.0,19543.6,19500.3,20011.75,2512,49400782.15,2018-05-31,809,INE470A01017
3PLAND,EQ,13.45,13.75,13.15,13.7,13.75,13.45,1127,15209.7,2018-05-31,20,INE105C01023
5PAISA,EQ,440.15,451.0,408.5,408.7,408.5,429.95,11710,4990547.05,2018-05-31,566,INE618L01018
63MOONS,EQ,78.6,79.3,77.1,77.85,77.7,78.4,149159,11669637.6,2018-05-31,1835,INE111B01023
8KMILES,EQ,627.5,632.0,596.0,602.2,599.5,619.35,153913,94364448.7,2018-05-31,6696,INE650K01021
A2ZINFRA,EQ,24.5,25.05,23.2,23.45,23.6,24.25,478728,11533404.8,2018-05-31,2230,INE619I01012
AARTIDRUGS,EQ,533.95,533.95,517.0,519.65,517.1,519.5,3721,1938044.6,2018-05-31,358,INE767A01016
AARTIIND,EQ,1242.0,1272.35,1216.8,1244.5,1263.0,1240.2,31226,38404008.3,2018-05-31,3025,INE769A01020
AARVEEDEN,EQ,37.55,37.95,36.55,36.65,36.55,37.6,50919,1888365.4,2018-05-31,126,INE273D01019
ABAN,EQ,146.0,147.45,140.0,141.3,141.25,145.8,1275349,182544195.35,2018-05-31,15310,INE421A01028
ABB,EQ,1242.25,1254.95,1220.0,1231.85,1231.0,1239.45,41589,51405300.95,2018-05-31,3350,INE117A01022
ABBOTINDIA,EQ,6760.0,6810.0,6651.0,6674.35,6651.0,6736.85,5992,40242845.55,2018-05-31,3360,INE358A01014
ABCAPITAL,EQ,148.2,149.2,146.1,146.7,146.55,147.5,988712,145785273.1,2018-05-31,10769,INE674K01013
ABFRL,EQ,146.35,149.0,146.3,148.3,148.0,146.8,266120,39334429.1,2018-05-31,2866,INE647O01011
ACC,EQ,1315.0,1364.0,1302.6,1354.6,1358.0,1309.4,3873328,5223620632.6,2018-05-31,103723,INE012A01025
